City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,8.79,93,100,6.26,NZ,1696293617
1,rongelap,11.1635,166.8941,29.16,77,72,7.58,MH,1696293618
2,magadan,59.5667,150.8,10.85,77,35,3.13,RU,1696293618
3,jamestown,42.097,-79.2353,19.8,84,0,2.57,US,1696293618
4,hermanus,-34.4187,19.2345,14.67,87,0,2.6,ZA,1696293618
5,enewetak,11.3474,162.3373,28.49,78,100,5.07,MH,1696293619
6,grytviken,-54.2811,-36.5092,1.52,65,99,4.87,GS,1696293619
7,adamstown,-25.066,-130.1015,20.41,73,4,9.74,PN,1696293619
8,port mathurin,-19.6833,63.4167,23.53,80,15,7.07,MU,1696293619
9,uturoa,-16.7333,-151.4333,26.06,80,1,7.05,PF,1696293620
10,vorgashor,67.5833,63.95,0.99,82,100,7.97,RU,1696293620
11,pontianak,-0.0333,109.3333,25.99,88,20,2.06,ID,1696293620
12,port-aux-francais,-49.35,70.2167,2.23,74,82,15.38,TF,1696293612
13,san ignacio,17.1561,-89.0714,25.08,94,75,3.09,BZ,1696293620
14,chibuto,-24.6867,33.5306,14.72,75,0,1.57,MZ,1696293621
15,port blair,11.6667,92.75,25.02,94,100,2.57,IN,1696293621
16,kodiak,57.79,-152.4072,8.73,46,0,7.72,US,1696293350
17,zhangzhou,24.5133,117.6556,27.96,72,91,0.72,CN,1696293621
18,qaqortoq,60.7167,-46.0333,3.51,76,100,1.42,GL,1696293622
19,umm kaddadah,13.6017,26.6876,28.41,53,94,9.04,SD,1696293622
20,bakchar,57.0186,82.0711,3.77,90,5,3.19,RU,1696293622
21,la passe,45.5549,-0.8967,20.13,87,42,4.38,FR,1696293617
22,fale old settlement,-9.3852,-171.2468,28.48,73,100,5.77,TK,1696293622
23,ushuaia,-54.8,-68.3,6.81,57,40,3.09,AR,1696293623
24,petropavlovsk-kamchatsky,53.0452,158.6483,8.03,85,75,7.0,RU,1696293623
25,ghat,24.9647,10.1728,26.23,37,1,1.78,LY,1696293623
26,rocha,-34.4833,-54.3333,9.79,95,78,2.67,UY,1696293623
27,grand falls-windsor,48.9332,-55.6649,10.84,72,23,1.91,CA,1696293624
28,bredasdorp,-34.5322,20.0403,12.46,85,0,2.1,ZA,1696293624
29,edinburgh of the seven seas,-37.0676,-12.3116,10.03,58,75,10.0,SH,1696293624
30,ribeira grande,38.5167,-28.7,18.76,77,0,3.58,PT,1696293624
31,kismayo,-0.3582,42.5454,25.58,87,17,6.44,SO,1696293625
32,anadyr,64.75,177.4833,3.28,64,0,7.0,RU,1696293345
33,puerto natales,-51.7236,-72.4875,2.83,96,100,1.78,CL,1696293625
34,san sebastian de la gomera,28.0916,-17.1133,33.2,14,0,1.03,ES,1696293625
35,olonkinbyen,70.9221,-8.7187,2.97,84,79,7.29,SJ,1696293625
36,tarime,-1.35,34.3667,17.64,67,93,2.59,TZ,1696293626
37,blackmans bay,-43.0167,147.3167,20.07,63,44,4.74,AU,1696293626
38,vadso,70.0744,29.7487,0.49,100,40,2.57,NO,1696293626
39,chonchi,-42.6128,-73.8092,7.84,94,98,0.41,CL,1696293626
40,tazovsky,67.4667,78.7,7.45,94,99,6.87,RU,1696293627
41,princeville,45.7668,-61.2985,12.95,80,0,1.54,CA,1696293627
42,albany,42.6001,-73.9662,17.07,85,24,0.89,US,1696293413
43,yuzhno-kurilsk,44.0306,145.8556,14.65,74,40,8.31,RU,1696293627
44,leninskoye,41.7589,69.3864,13.83,32,0,1.83,KZ,1696293628
45,weno,7.4515,151.8468,30.97,79,75,1.54,FM,1696293628
46,afaahiti,-17.75,-149.2833,25.93,86,61,6.53,PF,1696293628
47,bethel,41.3712,-73.414,17.58,83,0,0.0,US,1696293624
48,margaret river,-33.95,115.0667,13.93,65,100,4.93,AU,1696293616
49,omdurman,15.6445,32.4777,34.23,28,0,4.56,SD,1696293629
50,newman,37.3138,-121.0208,25.99,33,9,3.58,US,1696293629
51,thompson,55.7435,-97.8558,6.09,93,100,2.06,CA,1696293468
52,turpan,42.9333,89.1667,22.12,28,100,2.19,CN,1696293629
53,ilulissat,69.2167,-51.1,-1.99,40,0,7.72,GL,1696293630
54,nieuw amsterdam,5.8833,-55.0833,29.09,78,20,1.03,SR,1696293630
55,papatowai,-46.5619,169.4708,12.6,42,5,2.74,NZ,1696293630
56,sur,22.5667,59.5289,29.89,46,16,2.41,OM,1696293631
57,cabo san lucas,22.8909,-109.9124,32.01,65,20,5.14,MX,1696293631
58,hawaiian paradise park,19.5933,-154.9731,26.04,83,100,6.69,US,1696293614
59,yellowknife,62.456,-114.3525,10.29,95,75,2.57,CA,1696293525
60,atafu village,-8.5421,-172.5159,28.73,74,13,4.18,TK,1696293632
61,mount pearl,47.5166,-52.7813,9.19,92,0,2.57,CA,1696293632
62,agua prieta,31.3,-109.5667,28.44,24,0,11.83,MX,1696293341
63,vernon,50.2581,-119.2691,14.78,80,100,0.51,CA,1696293632
64,ancud,-41.8697,-73.8203,6.82,71,99,0.78,CL,1696293632
65,iskateley,67.6803,53.1512,3.9,78,76,9.39,RU,1696293633
66,port lincoln,-34.7333,135.8667,14.94,58,75,8.51,AU,1696293378
67,rikaze,29.25,88.8833,11.6,53,18,0.21,CN,1696293633
68,vila franca do campo,37.7167,-25.4333,20.23,99,29,4.66,PT,1696293434
69,pangoa,-12.1167,-73.0,22.15,97,100,1.29,PE,1696293634
70,constantia,44.1833,28.65,13.38,54,0,4.93,RO,1696293611
71,masterton,-40.9597,175.6575,9.38,58,90,5.74,NZ,1696293634
72,kingston,17.997,-76.7936,27.53,94,40,1.03,JM,1696293557
73,ust-nera,64.5667,143.2,1.79,68,29,1.34,RU,1696293635
74,tiksi,71.6872,128.8694,-2.32,80,95,7.75,RU,1696293614
75,vredendal,-31.6683,18.5012,15.23,74,0,1.51,ZA,1696293635
76,tamazulapam villa del progreso,17.6806,-97.5689,16.66,88,69,2.08,MX,1696293635
77,shengli,37.4564,118.4856,22.54,45,27,2.77,CN,1696293636
78,aykhal,66.0,111.5,-7.74,91,95,3.13,RU,1696293636
79,zouerate,22.7187,-12.4521,30.97,14,0,2.19,MR,1696293636
80,vihari,30.0333,72.35,22.39,30,0,1.74,PK,1696293636
81,nuuk,64.1835,-51.7216,5.34,65,100,0.51,GL,1696293637
82,udachny,66.4167,112.4,-4.75,79,76,3.1,RU,1696293637
83,monywa,22.1167,95.1333,25.49,89,76,3.15,MM,1696293637
84,yeongdong,36.175,127.7764,13.32,60,100,0.46,KR,1696293637
85,el matama,16.7095,33.3565,33.95,21,20,2.97,SD,1696293638
